doc_id,entity,type
2,thursday march 3 2011,DATE
2,syria,GPE
2,hrc,PERSON
2,syria,GPE
2,libya,GPE
2,hrc,PERSON
2,syria,GPE
2,libya,GPE
2,march 3 2011,DATE
5,friday march 11 2011,DATE
5,syria,GPE
5,hrc,PERSON
5,syria,GPE
5,libya,GPE
6,wednesday september 12 2012,DATE
6,wednesday september 12 2012,DATE
6,11,CARDINAL
6,4,CARDINAL
6,lte droid us department,ORG
6,doc,ORG
6,state5cb0045251,ORG
8,friday march 11 2011,DATE
8,syria,GPE
8,hrc,PERSON
8,syria,GPE
8,libya,GPE
10,wednesday september 12 2012,DATE
10,libya,GPE
10,37,CARDINAL
10,12,CARDINAL
10,4,CARDINAL
12,wednesday september 12 2012,DATE
12,libya,GPE
12,37,CARDINAL
12,12,CARDINAL
12,4,CARDINAL
14,annemarie slaughter,PERSON
14,sunday march 13 2011,DATE
14,jacob mills cheryl abedin hurtle,PERSON
14,libya,GPE
14,tomorrow,DATE
14,annemarie,PERSON
14,princeton by annemarie slaughter,ORG
14,obama,PERSON
14,muammar alqaddafi,PERSON
14,libyan,NORP
14,qaddafi,PERSON
14,the united states,GPE
14,europe,LOC
14,the arab league,ORG
14,the united nations security council,ORG
14,five,CARDINAL
14,wesley clark,PERSON
14,libya,GPE
14,the united states,GPE
14,americans,NORP
14,iraq,GPE
14,afghanistan,GPE
14,arab,NORP
14,muslim,NORP
14,al jazeeras,ORG
14,wadah khanfar,PERSON
14,arab,NORP
14,arabs,NORP
14,arab,NORP
14,libyan,NORP
14,arab,NORP
14,arab,NORP
14,statescb0045012 us department of state case,ORG
14,the united states,GPE
14,nato,ORG
14,40 years,DATE
14,qaddafi,PERSON
14,livay,GPE
14,qaddafi massacres,PERSON
14,the middle east,LOC
14,americans,NORP
14,june 2009,DATE
14,cairo,GPE
14,qaddafi,PERSON
14,the united states,GPE
14,russia,GPE
14,china,GPE
14,the arab league,ORG
14,france,GPE
14,the arab league,ORG
14,statescb0045013 us department,ORG
14,week,DATE
14,arab,NORP
14,qaddafi,PERSON
14,two,CARDINAL
14,three,CARDINAL
15,lawrence,PERSON
15,wednesday september 12 2012,DATE
15,libya,GPE
16,today,DATE
16,tripoli,GPE
16,first,ORDINAL
16,today,DATE
16,harold us department of state,ORG
16,doc,ORG
16,statescb0045269,ORG
20,sullivan,PERSON
20,wednesday september 12,DATE
20,2012,DATE
20,wendy mills cheryl,PERSON
20,libya,GPE
21,wednesday september 12 2012,DATE
21,libya,GPE
21,37,CARDINAL
21,12,CARDINAL
22,wednesday september 12 2012,DATE
22,libya,GPE
22,37,CARDINAL
22,12,CARDINAL
25,b5,PERSON
26,sidney blumenthal,PERSON
26,thursday september 13 2012,DATE
26,memo sid hre,PERSON
26,september 13 2012,DATE
29,1,CARDINAL
29,prothero boston university,ORG
29,american,NORP
29,cnn,ORG
29,stephen prothero,PERSON
29,cnn,ORG
29,us,GPE
29,egypt,GPE
29,libya,GPE
29,yemen,GPE
29,four,CARDINAL
29,americans,NORP
29,us,GPE
29,libya,GPE
29,chris stevens,PERSON
29,american,NORP
29,egypt,GPE
29,one,CARDINAL
29,americans,NORP
29,americans,NORP
29,the judeochristian west,LOC
29,muslim,NORP
29,muslims,NORP
29,american,NORP
29,muslims,NORP
29,americans,NORP
29,libyan,NORP
29,mustafa abushagur,PERSON
29,america,GPE
29,state,ORG
29,hillary clinton,PERSON
29,the united states,GPE
29,kenyon college,ORG
29,2005,DATE
29,david foster,PERSON
29,cnn,ORG
29,us,GPE
29,statescb0045293 b6 us department,ORG
29,give5,PERSON
29,muslims,NORP
29,anamerican moreover,ORG
29,americans,NORP
29,americans,NORP
29,muslims,NORP
29,muslims,NORP
29,muslims,NORP
29,islamic,NORP
29,recent days,DATE
29,libyan,NORP
29,egyptian,NORP
29,sam bacile,PERSON
29,the wall street journal,ORG
29,islam,NORP
29,two,CARDINAL
29,american,NORP
29,first,ORDINAL
29,first,ORDINAL
29,muslims,NORP
29,christians,NORP
29,israelis,NORP
29,americans,NORP
29,egyptians,NORP
29,recent days,DATE
29,libya,GPE
29,egypt,GPE
29,islam,NORP
29,libya,GPE
29,islam,NORP
29,stephen prothero us department,PERSON
29,statescb0045294 us department,ORG
29,cnn,ORG
32,yemen,GPE
33,sunday march,DATE
33,201i,PRODUCT
33,intel,ORG
33,libyan,NORP
33,intel,ORG
33,032711docx hrc,PERSON
33,intel,ORG
33,march 27 2011,DATE
33,libyan,NORP
33,the evening,TIME
33,march 27 2011,DATE
33,the national libyan council,ORG
33,libyan,NORP
33,libyans,NORP
33,one,CARDINAL
33,khalifa haftzu,PERSON
33,the libyan national army,ORG
33,1500,CARDINAL
33,idryss debi,PERSON
33,chadian,NORP
33,hussein,PERSON
33,the fall of 1990,DATE
33,libyan,NORP
33,french,NORP
33,the united states,GPE
33,egyptian,NORP
33,french,NORP
33,british,NORP
33,egypt,GPE
33,libyan,NORP
33,doc,ORG
33,statescb0045018 us department,ORG
33,doc,ORG
33,mid march,DATE
33,one,CARDINAL
33,tripoli,GPE
33,european,NORP
33,french,NORP
33,libyan,NORP
33,the next week,DATE
33,libyan,NORP
33,the late 1980s,DATE
33,libyan,NORP
33,tripoli,GPE
33,libyan,NORP
33,the european intelligence,ORG
33,french,NORP
33,nicolas sarkozy,PERSON
33,france,GPE
33,libyan,NORP
33,al qaida,ORG
33,islamic,NORP
33,israel,GPE
33,syria,GPE
33,the middle east,LOC
33,muslim,NORP
33,french,NORP
33,egypt,GPE
33,libyan,NORP
33,france,GPE
33,abdallah,ORG
33,abdelfateh younis,PERSON
33,european,NORP
33,libya,GPE
33,libya,GPE
33,france,GPE
33,european,NORP
33,libya,GPE
33,82,CARDINAL
33,120,CARDINAL
33,127mm,QUANTITY
33,4x4,CARDINAL
33,232,CARDINAL
33,234,CARDINAL
33,doc,ORG
33,statescb0045019 us department of state case,ORG
33,doc,ORG
33,transporthnedim,GPE
33,ak47,ORG
33,234,CARDINAL
33,232,CARDINAL
33,british,NORP
33,egyptian,NORP
33,western egypt,LOC
33,sam7,ORG
33,doc,ORG
33,statescb0045020,GPE
34,sullivan jacob 3,PERSON
34,thursday,DATE
34,september 13 2012,DATE
34,libya,GPE
34,egypt,GPE
37,825 am,QUANTITY
37,835 am,QUANTITY
37,840,CARDINAL
37,daily,DATE
37,wffemalle,PERSON
37,africa,LOC
37,ksom 7,PERSON
37,monica,PERSON
37,carson,PERSON
37,2530,CARDINAL
37,french,NORP
37,portuguese,NORP
37,weekly,DATE
37,susan rice,PERSON
37,1005,DATE
37,pam quanrud,PERSON
37,15,CARDINAL
37,mike posner,PERSON
37,white house,ORG
37,1125,DATE
37,white house,ORG
37,ii30,PRODUCT
37,100 pm,TIME
37,100 pm,QUANTITY
37,white house,ORG
37,245 pm,TIME
37,libya,GPE
37,air force base,ORG
37,monica,PERSON
37,330 pm,TIME
37,air force aircraft tail,ORG
37,statescb0045306 us department of state,ORG
37,113d,CARDINAL
44,sunday,DATE
46,libyan,NORP
47,monday oct 1 2012,DATE
47,october,DATE
47,jimmy carter,PERSON
47,libya,GPE
47,mitt romney,PERSON
47,barack obama,PERSON
47,first,ORDINAL
47,wednesday,DATE
47,night,TIME
47,republican,NORP
47,libya,GPE
47,chris stevens,PERSON
47,september,DATE
47,washington dc,GPE
47,last week,DATE
47,gop,ORG
47,jimmy carter,PERSON
47,october,DATE
47,republicans,NORP
47,libya,GPE
47,american,NORP
47,iran,GPE
47,jimmy,PRODUCT
47,gop,ORG
47,karl rove,PERSON
47,second,ORDINAL
47,first,ORDINAL
47,wednesday september 26,DATE
47,fox news karl,ORG
47,libya,GPE
47,libya,GPE
47,us,GPE
47,iran,GPE
47,new york,GPE
47,rudolph giuliani,PERSON
47,gop,ORG
47,911,CARDINAL
47,libya,GPE
47,four,CARDINAL
47,americans,NORP
47,giuliani,PERSON
47,white house,ORG
47,bin laden,PERSON
47,islamic,NORP
47,asia,LOC
47,republican,NORP
47,tennessee,GPE
47,libya,GPE
47,sunday september 30,DATE
47,paul ryan,PERSON
47,america,GPE
47,last night,TIME
47,libya,GPE
47,one,CARDINAL
47,obama,PERSON
47,stuart stevens,PERSON
47,the end of april,DATE
47,the new york times,ORG
47,bush,PERSON
47,cnn,ORG
47,abc radio air america,ORG
47,charlie,PERSON
47,today,DATE
47,vanity fair us department of state case,ORG
48,phil,PERSON
49,b5,PERSON
50,3,CARDINAL
51,sullivan jacob,PERSON
51,monday october 1 2012,DATE
52,one,CARDINAL
52,libyan,NORP
52,doc,ORG
53,wall street journal,ORG
53,yesterday,DATE
53,libya,GPE
53,ed gillespie,PERSON
53,muslim,NORP
53,egypt,GPE
53,libya,GPE
53,the last week,DATE
54,friday september,DATE
54,2012,DATE
54,today,DATE
54,hrc,PERSON
54,091412docx,CARDINAL
54,2012,DATE
55,this afternoon,TIME
55,iraq,GPE
55,the weekend,DATE
55,doc,ORG
55,statescb0045325,GPE
56,sidney blumenthal mailto,ORG
56,monday october 01 2012,DATE
56,wall street journal,ORG
56,yesterday,DATE
56,libya,GPE
56,ed gillespie,PERSON
56,muslim,NORP
56,egypt,GPE
56,libya,GPE
56,the last week,DATE
58,the middle east,LOC
58,three,CARDINAL
