Id,Dominant_Topic
1,0
2,0
3,2
4,0
5,0
6,0
7,2
8,0
9,0
10,1
11,1
12,0
13,0
14,0
15,3
16,1
17,0
18,0
19,1
20,3
21,0
22,0
23,0
24,3
25,2
26,1
27,0
28,1
29,0
30,2
31,0
32,2
33,0
34,0
35,0
36,2
37,0
38,0
39,0
40,2
41,0
42,3
43,3
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,3
55,0
57,0
58,0
59,0
60,2
61,0
62,0
63,2
64,1
65,1
66,0
67,3
68,2
69,2
71,0
72,0
73,0
74,0
75,1
76,0
77,2
78,3
79,3
80,3
81,0
82,0
83,0
84,0
85,0
86,0
88,0
89,3
90,0
91,0
92,3
93,0
94,0
95,0
96,3
97,3
98,0
99,2
100,2
101,0
102,1
103,0
104,3
105,2
106,0
107,3
108,0
109,0
111,0
112,0
113,3
114,0
115,0
116,0
117,0
118,2
119,0
120,0
121,0
122,0
123,0
124,3
125,1
126,0
127,3
128,1
129,3
130,0
131,3
132,2
133,1
134,3
135,0
136,0
137,2
138,2
139,0
140,2
141,0
142,0
143,0
144,2
145,0
146,0
147,2
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,2
158,3
159,0
160,0
161,0
162,0
163,0
164,0
165,3
167,2
168,0
169,0
170,1
171,0
172,0
173,0
174,3
175,2
176,2
177,0
178,0
179,3
180,0
181,1
182,0
183,3
184,0
185,3
186,3
187,0
188,2
189,3
190,2
191,0
192,0
193,0
194,1
195,0
196,0
197,0
198,3
199,0
200,0
201,0
202,1
203,1
204,3
205,0
206,0
207,0
208,0
209,1
210,0
211,0
212,0
213,0
214,0
215,3
216,0
217,0
218,0
219,0
220,0
221,1
222,2
224,0
225,0
226,0
227,0
228,0
229,3
230,0
231,1
232,0
233,1
234,3
235,0
236,2
237,0
238,1
239,2
240,0
241,0
242,0
243,0
245,0
246,0
247,2
248,1
249,1
250,0
251,0
252,0
253,0
254,1
255,0
256,0
257,3
258,0
259,1
260,0
261,0
262,0
263,3
264,0
265,0
266,0
267,3
268,0
269,0
270,3
271,2
272,0
273,0
274,0
275,0
276,2
277,0
278,0
279,0
280,0
281,0
282,2
283,2
284,1
285,0
