Id,Dominant_Topic
1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,2
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,1
22,3
23,3
24,3
25,3
26,3
27,2
28,3
29,1
30,1
31,1
32,3
33,3
34,1
35,1
36,1
37,3
38,2
39,1
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,3
48,0
49,0
50,0
51,0
52,3
53,3
54,3
55,3
56,0
57,1
58,2
59,3
60,1
61,1
62,1
63,1
64,3
65,0
66,3
67,0
68,1
69,1
70,3
71,3
72,1
73,2
74,1
75,3
76,3
77,3
78,2
79,1
80,2
81,1
82,1
83,3
84,2
85,3
86,2
87,2
88,3
89,2
90,0
91,3
92,2
93,2
94,2
95,3
96,3
97,0
98,0
99,0
100,3
101,0
102,0
103,0
104,0
105,2
106,2
107,0
108,1
109,2
110,3
111,1
112,0
113,0
114,0
115,3
116,0
117,2
118,3
119,0
120,0
121,0
122,0
123,3
124,2
125,0
126,2
127,3
128,3
129,2
130,1
131,1
132,1
133,1
134,1
135,3
136,3
137,0
138,0
139,2
140,0
141,0
142,1
143,1
144,3
145,0
146,0
147,0
148,0
149,3
150,3
151,3
152,3
153,0
154,0
155,0
156,0
157,0
158,3
159,2
160,3
161,3
162,0
163,3
164,3
165,2
166,0
167,3
168,3
169,3
170,3
171,0
172,0
173,0
174,3
175,0
176,3
177,0
178,3
179,1
180,3
181,0
182,2
183,2
184,2
185,1
186,3
187,0
188,0
189,2
190,3
191,0
192,3
193,0
194,1
195,3
196,3
197,0
198,1
199,3
200,0
201,3
202,3
203,2
204,2
205,0
206,2
207,1
208,2
209,0
210,0
211,0
212,3
213,0
214,0
215,3
216,3
217,3
218,1
219,0
220,1
221,0
222,3
223,3
224,3
225,3
226,3
227,0
228,3
229,3
230,1
231,0
232,0
233,3
234,3
235,3
236,3
237,3
238,0
239,0
240,0
241,2
242,3
243,0
244,3
245,0
246,0
247,3
248,0
249,3
250,0
251,0
252,0
253,3
254,0
255,2
256,2
257,1
258,0
259,0
260,3
261,0
262,2
263,1
264,2
265,3
266,1
267,2
268,1
269,2
270,3
271,1
272,0
273,0
274,0
275,0
276,1
277,2
278,2
279,0
280,3
281,1
282,0
283,3
284,0
285,3
286,3
287,3
288,3
289,3
290,2
291,2
292,3
293,3
294,2
295,1
296,1
297,3
298,0
299,2
300,1
301,3
302,3
303,3
304,2
305,3
306,0
307,3
308,3
309,3
310,0
311,2
312,3
313,3
314,3
315,3
316,2
317,2
318,0
319,2
320,3
321,3
322,2
323,0
324,3
325,3
326,2
327,3
328,3
329,3
330,2
331,3
332,0
333,3
334,3
336,3
337,3
338,0
339,2
340,2
341,1
342,3
343,2
344,3
345,0
346,2
347,0
348,3
349,2
350,3
351,3
352,3
353,0
354,0
355,3
356,3
357,2
358,3
359,3
360,0
361,2
362,2
363,2
364,0
365,0
366,0
367,3
368,3
369,3
370,3
371,3
372,3
373,3
374,3
375,3
376,2
377,2
378,0
379,3
380,3
381,1
382,3
383,3
384,0
385,3
386,0
387,3
388,3
389,3
390,0
391,0
392,3
393,2
394,1
395,1
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,2
406,3
407,3
408,3
409,3
410,3
411,3
412,2
413,2
414,3
415,0
416,0
417,2
418,2
419,3
420,1
421,1
422,3
423,3
424,3
425,3
426,3
427,2
428,3
429,1
430,0
431,0
432,2
433,2
434,3
435,0
436,1
437,3
438,1
439,0
440,3
441,2
442,3
443,3
444,3
445,3
446,3
447,2
448,2
449,2
450,2
451,3
452,0
453,0
454,3
455,2
456,2
457,2
458,0
459,3
460,3
461,0
462,1
463,1
464,1
465,3
466,3
467,0
468,2
469,3
470,0
471,2
472,3
473,3
474,3
475,2
476,3
477,2
478,2
479,1
480,1
481,1
482,2
483,3
484,2
485,1
486,2
487,0
488,0
489,3
490,2
491,3
492,0
493,3
494,3
495,2
496,1
497,0
498,0
499,0
500,3
501,2
502,3
503,3
504,1
505,2
506,1
507,1
508,3
509,0
510,2
511,3
512,3
513,3
514,3
515,1
516,2
517,3
518,3
519,2
520,3
521,1
522,2
523,1
524,2
525,2
526,2
527,3
528,3
529,0
530,0
531,0
532,0
533,1
534,2
535,2
536,2
537,3
538,2
539,0
540,3
541,1
542,0
543,3
544,2
545,2
546,3
547,3
548,0
549,3
550,1
551,3
552,0
553,0
554,3
555,3
556,1
557,0
558,3
559,3
560,3
561,3
562,0
563,3
564,3
565,2
566,2
567,2
568,3
569,3
570,3
571,2
572,1
573,2
574,2
575,1
576,1
577,2
578,3
579,3
580,3
581,3
582,0
583,3
584,3
585,0
586,0
587,3
588,3
589,0
590,0
591,3
592,3
593,2
594,3
595,2
596,2
597,3
598,3
599,2
600,2
601,3
602,3
603,3
604,2
605,0
606,3
607,3
608,3
609,3
610,3
611,3
612,0
613,2
614,1
