doc_id,text,label,score,start,end
0,Syria,I-LOC,0.99973446,49,54
0,Q,I-PER,0.99675024,65,66
0,##ad,I-PER,0.8854403,66,68
0,##da,I-MISC,0.39018828,68,70
0,##fi,I-PER,0.83580804,70,72
0,Hillary,I-PER,0.9899137,189,196
2,Hu,I-PER,0.94293076,33,35
2,##ma,I-PER,0.5050607,35,37
2,Abe,I-PER,0.97265685,38,41
2,##din,I-PER,0.45313972,41,44
2,Syria,I-LOC,0.9996886,64,69
2,Q,I-PER,0.9902914,80,81
2,##ad,I-PER,0.7619913,81,83
2,##da,I-MISC,0.3913206,83,85
2,##fi,I-PER,0.7104841,85,87
3,Anti,I-MISC,0.98126215,103,107
3,f,I-MISC,0.7372952,108,109
3,##lus,I-MISC,0.7415895,110,113
3,##lim,I-MISC,0.9825059,113,116
3,Anti,I-MISC,0.9908539,258,262
3,-,I-MISC,0.97290087,262,263
3,Muslim,I-MISC,0.9900761,263,269
3,##ume,I-ORG,0.55195785,311,314
3,##nt,I-ORG,0.6046412,314,316
3,V,I-ORG,0.9862416,427,428
3,##eri,I-ORG,0.9851944,428,431
3,##zon,I-ORG,0.99413437,431,434
3,Wireless,I-ORG,0.96932083,435,443
3,U,I-ORG,0.7908035,457,458
3,S,I-ORG,0.6679809,459,460
3,.,I-ORG,0.64715123,460,461
3,Department,I-ORG,0.9945458,462,472
3,of,I-ORG,0.99171114,473,475
3,State,I-ORG,0.9837388,476,481
4,Hu,I-PER,0.96326315,33,35
4,##ma,I-PER,0.599743,35,37
4,Abe,I-PER,0.9758612,38,41
4,##din,I-PER,0.4818785,41,44
4,Syria,I-LOC,0.9996973,64,69
4,Q,I-PER,0.9910363,80,81
4,##ad,I-PER,0.7648987,81,83
4,##da,I-MISC,0.38775295,83,85
4,##fi,I-PER,0.7519157,85,87
4,Syria,I-LOC,0.9995728,113,118
6,##ya,I-ORG,0.55195266,57,59
6,Libya,I-LOC,0.99653363,60,65
6,V,I-ORG,0.9813091,123,124
6,##eri,I-ORG,0.978672,124,127
6,##zon,I-ORG,0.99321175,127,130
6,Wireless,I-ORG,0.96841586,131,139
8,##ya,I-ORG,0.55195266,57,59
8,Libya,I-LOC,0.99653363,60,65
8,V,I-ORG,0.9813091,123,124
8,##eri,I-ORG,0.978672,124,127
8,##zon,I-ORG,0.99321175,127,130
8,Wireless,I-ORG,0.96841586,131,139
9,F,I-PER,0.788509,0,1
9,##yi,I-PER,0.5523796,1,3
10,Anne,I-PER,0.9995499,0,4
10,-,I-PER,0.80258346,4,5
10,Marie,I-PER,0.9995421,5,10
10,S,I-PER,0.9997596,11,12
10,##lau,I-PER,0.971159,12,15
10,##ghter,I-PER,0.999571,15,20
10,Jacob,I-PER,0.9996216,52,57
10,Mills,I-PER,0.99966884,58,63
10,Cheryl,I-PER,0.9996275,65,71
10,D,I-PER,0.9871215,72,73
10,Abe,I-PER,0.9971481,75,78
10,##din,I-PER,0.9734413,78,81
10,Hurt,I-PER,0.97133386,83,87
10,##le,I-ORG,0.5518666,87,89
10,NY,I-ORG,0.970378,129,131
10,##T,I-ORG,0.93765837,131,132
10,Anne,I-PER,0.99928147,199,203
10,-,I-PER,0.6969599,203,204
10,Marie,I-PER,0.9994825,204,209
10,S,I-PER,0.9996823,210,211
10,##lau,I-PER,0.91454595,211,214
10,##ghter,I-PER,0.99967766,214,219
10,Princeton,I-ORG,0.96136636,276,285
10,Anne,I-PER,0.98003846,290,294
10,Marie,I-PER,0.9958015,295,300
10,S,I-PER,0.88434637,301,302
10,Obama,I-PER,0.9991015,321,326
10,Mu,I-PER,0.9994468,368,370
10,##am,I-PER,0.9952448,370,372
10,##mar,I-PER,0.9991683,372,375
10,al,I-PER,0.99906725,376,378
10,Q,I-PER,0.9984686,379,380
10,##ad,I-PER,0.98441505,380,382
10,##da,I-PER,0.7623524,382,384
10,##fi,I-PER,0.9944383,384,386
10,Libyan,I-MISC,0.9987639,425,431
10,Q,I-PER,0.9993425,451,452
10,##ad,I-PER,0.98296976,452,454
10,##da,I-PER,0.8217957,454,456
10,##fi,I-PER,0.98995996,456,458
11,Randolph,I-PER,0.9342585,13,21
11,Lawrence,I-PER,0.9939412,23,31
11,Mills,I-PER,0.99854445,83,88
11,Cheryl,I-PER,0.99846256,90,96
11,NE,I-ORG,0.8924714,129,131
11,##A,I-ORG,0.6922042,131,132
11,Chris,I-PER,0.9989214,181,186
11,Libya,I-LOC,0.99983525,243,248
12,Tripoli,I-LOC,0.9363988,47,54
12,Malta,I-LOC,0.9997782,126,131
12,Tripoli,I-LOC,0.9996927,135,142
12,Harold,I-PER,0.9653252,495,501
12,U,I-LOC,0.9716816,502,503
12,S,I-LOC,0.8509864,504,505
13,Kamal,I-PER,0.8405042,24,29
13,##a,I-PER,0.5712153,29,30
16,Sullivan,I-PER,0.99968493,9,17
16,Jacob,I-PER,0.99944705,19,24
