doc_id,text,label,score,start,end
0,J,I-ORG,0.7990112,9,10
0,##AM,I-ORG,0.6752471,10,12
0,##ES,I-ORG,0.49978134,12,14
0,NGO,I-ORG,0.94696116,15,18
0,##LA,I-ORG,0.88449526,18,20
0,U,I-MISC,0.5209264,63,64
0,##R,I-MISC,0.55285555,64,65
0,J,I-ORG,0.6645754,132,133
0,##AM,I-ORG,0.61055475,133,135
0,NGO,I-ORG,0.94441813,138,141
0,##LA,I-ORG,0.77766675,141,143
0,K,I-PER,0.6246862,210,211
0,##AB,I-ORG,0.43389803,211,213
0,##IL,I-ORG,0.58040124,213,215
0,##A,I-ORG,0.73257554,215,216
0,J,I-MISC,0.48318234,265,266
0,D,I-MISC,0.91591996,400,401
0,##IA,I-MISC,0.6987137,401,403
0,##MO,I-MISC,0.46606126,403,405
0,AR,I-MISC,0.53833497,421,423
0,D,I-LOC,0.9891539,442,443
0,R,I-LOC,0.88423824,444,445
0,C,I-LOC,0.9801058,446,447
0,##MO,I-MISC,0.5144847,452,454
0,CO,I-MISC,0.5832363,473,475
1,Ben,I-PER,0.999458,22,25
1,Sul,I-PER,0.9995659,26,29
1,##eman,I-PER,0.9969368,29,33
1,Customs,I-ORG,0.992823,91,98
1,and,I-ORG,0.98612034,99,102
1,Ex,I-ORG,0.9948362,103,105
1,##cise,I-ORG,0.9878544,105,109
1,department,I-ORG,0.6366,110,120
1,Federal,I-ORG,0.98717195,128,135
1,Ministry,I-ORG,0.97791994,136,144
1,of,I-ORG,0.9699581,145,147
1,Internal,I-ORG,0.9857491,148,156
1,Affairs,I-ORG,0.9846348,157,164
1,Mu,I-LOC,0.9990676,182,184
1,##rta,I-LOC,0.9907703,184,187
1,##la,I-LOC,0.9948266,187,189
1,Mohammed,I-LOC,0.9976688,190,198
1,International,I-LOC,0.9864443,199,212
1,Airport,I-LOC,0.89986366,213,220
1,I,I-LOC,0.99661607,222,223
1,##ke,I-LOC,0.9825509,223,225
1,##ja,I-LOC,0.99713683,225,227
1,Lagos,I-LOC,0.9990957,229,234
1,Nigeria,I-LOC,0.99975866,235,242
1,Nigeria,I-LOC,0.9991109,298,305
1,San,I-PER,0.99940276,314,317
1,##ni,I-PER,0.9985927,317,319
1,A,I-PER,0.99924123,320,321
1,##bach,I-PER,0.99479866,321,325
1,##a,I-PER,0.99320614,325,326
1,Nigeria,I-LOC,0.99985576,432,439
1,Saudi,I-LOC,0.999772,462,467
1,Arabia,I-LOC,0.9997962,468,474
2,##J,I-ORG,0.46217299,17,18
2,E,I-MISC,0.7302385,44,45
2,K,I-ORG,0.5874738,50,51
2,##ING,I-ORG,0.48513472,51,54
2,##D,I-ORG,0.7545649,54,55
2,D,I-ORG,0.34406462,64,65
2,##AN,I-MISC,0.40792185,65,67
3,##J,I-ORG,0.46217299,17,18
3,E,I-MISC,0.7302385,44,45
3,K,I-ORG,0.5874738,50,51
3,##ING,I-ORG,0.48513472,51,54
3,##D,I-ORG,0.7545649,54,55
3,D,I-ORG,0.34406462,64,65
3,##AN,I-MISC,0.40792185,65,67
4,Mary,I-PER,0.9994821,116,120
4,##am,I-PER,0.9991505,120,122
