doc_id,text,label,score,start,end
77,l,I-ORG,0.6523461,0,1
99,l,I-ORG,0.6523461,0,1
111,##eor,I-PER,0.6092668,9,12
111,##ge,I-PER,0.9718589,12,14
111,c,I-PER,0.95169264,15,16
111,##lo,I-PER,0.54050785,16,18
115,##eor,I-PER,0.47494152,1,4
115,##ge,I-PER,0.9029476,4,6
115,c,I-PER,0.77373934,7,8
115,##lo,I-PER,0.4836256,8,10
127,ma,I-PER,0.53987396,0,2
153,l,I-ORG,0.6523461,0,1
248,l,I-ORG,0.6523461,0,1
263,l,I-ORG,0.6523461,0,1
280,l,I-ORG,0.6523461,0,1
300,l,I-ORG,0.6523461,0,1
378,##neck,I-MISC,0.75528336,3,7
390,##neck,I-MISC,0.50449026,19,23
428,##ns,I-LOC,0.4481007,35,37
448,l,I-ORG,0.6523461,0,1
479,l,I-ORG,0.6523461,0,1
518,l,I-ORG,0.6523461,0,1
600,l,I-ORG,0.6523461,0,1
702,##awa,I-ORG,0.43520623,11,14
793,l,I-ORG,0.6523461,0,1
796,l,I-ORG,0.6523461,0,1
822,l,I-ORG,0.6523461,0,1
835,##wes,I-LOC,0.50628936,7,10
852,l,I-ORG,0.683559,0,1
866,l,I-ORG,0.6523461,0,1
889,##ees,I-PER,0.58699834,1,4
916,a,I-ORG,0.40619978,3,4
916,##riz,I-ORG,0.5355337,4,7
1045,l,I-ORG,0.64935493,0,1
1090,l,I-ORG,0.6523461,0,1
1099,j,I-ORG,0.8915197,0,1
1099,##aja,I-ORG,0.74920166,1,4
1099,##ja,I-ORG,0.8918512,4,6
1099,##aa,I-ORG,0.45688263,6,8
1135,l,I-ORG,0.6523461,0,1
1243,l,I-ORG,0.549436,0,1
1668,l,I-ORG,0.6523461,0,1
1733,l,I-ORG,0.6523461,0,1
2051,##lah,I-LOC,0.6483216,12,15
2051,##oma,I-LOC,0.62021923,15,18
2500,##xi,I-MISC,0.9704854,6,8
2500,##can,I-MISC,0.941268,8,11
2516,##xi,I-MISC,0.80923486,6,8
2563,au,I-LOC,0.5645097,29,31
2563,##stra,I-LOC,0.6893421,31,35
2644,##nd,I-LOC,0.4781877,21,23
2725,##ola,I-ORG,0.4681364,3,6
2725,##nd,I-ORG,0.5578987,6,8
2760,##k,I-ORG,0.56874377,22,23
2760,##ron,I-ORG,0.50464755,23,26
2767,l,I-ORG,0.6523461,0,1
2799,da,I-PER,0.85598725,0,2
2799,##r,I-PER,0.48977834,2,3
2799,##win,I-PER,0.78517467,3,6
2853,##gli,I-MISC,0.7395121,9,12
2853,##sh,I-MISC,0.97054887,12,14
2854,da,I-PER,0.9573979,0,2
2854,##r,I-PER,0.60564315,2,3
2854,##win,I-PER,0.7760894,3,6
2907,##rench,I-MISC,0.98227596,35,40
3028,la,I-PER,0.45696157,0,2
3028,##mberg,I-PER,0.36628184,2,7
3038,l,I-ORG,0.6523461,0,1
3047,l,I-ORG,0.6523461,0,1
3070,la,I-LOC,0.5412472,24,26
3070,##rg,I-LOC,0.6191789,29,31
3070,##hin,I-LOC,0.4193308,31,34
3304,be,I-PER,0.5485727,0,2
3304,##ckle,I-PER,0.4676686,2,6
3380,l,I-ORG,0.6523461,0,1
3458,##ia,I-LOC,0.42989394,1,3
3529,rot,I-LOC,0.7815138,0,3
3529,##f,I-LOC,0.49180532,3,4
3529,##lma,I-LOC,0.3289314,4,7
3529,##o,I-LOC,0.62506586,7,8
3535,l,I-ORG,0.6523461,0,1
3537,my,I-ORG,0.5756645,20,22
3537,##space,I-ORG,0.5976605,22,27
3702,l,I-ORG,0.58681655,0,1
3707,wa,I-ORG,0.49624166,0,2
3750,a,I-LOC,0.9574581,5,6
3750,##zer,I-LOC,0.973982,6,9
3750,##ba,I-LOC,0.95403016,9,11
3750,##ija,I-LOC,0.92985576,11,14
3750,##n,I-LOC,0.9905951,14,15
3770,##kot,I-LOC,0.54669106,38,41
3803,l,I-ORG,0.6523461,0,1
3903,euro,I-MISC,0.97316843,101,105
3903,##pe,I-MISC,0.7980811,105,107
3903,##an,I-MISC,0.9362401,107,109
3948,l,I-ORG,0.6523461,0,1
3955,l,I-ORG,0.6523461,0,1
3979,l,I-ORG,0.6523461,0,1
3998,l,I-ORG,0.6523461,0,1
4070,l,I-ORG,0.6523461,0,1
4198,l,I-ORG,0.6523461,0,1
4269,te,I-ORG,0.68161726,27,29
4269,##xa,I-ORG,0.6187593,29,31
4283,te,I-ORG,0.7302171,35,37
4283,##xa,I-ORG,0.8026194,37,39
4283,##s,I-ORG,0.538798,39,40
4431,##uck,I-LOC,0.54786474,45,48
4436,##adia,I-MISC,0.83959,10,14
4488,it,I-MISC,0.9199749,16,18
4488,##alia,I-MISC,0.9501912,18,22
4488,##n,I-MISC,0.9790348,22,23
4767,l,I-ORG,0.6523461,0,1
5039,am,I-MISC,0.7871742,5,7
5039,##eric,I-MISC,0.72461534,7,11
5039,##an,I-MISC,0.9884383,11,13
5073,am,I-MISC,0.89183015,4,6
