doc_id,text,label,start,end
14,one,CARDINAL,23,26
14,china,GPE,51,56
16,one,CARDINAL,59,62
16,one,CARDINAL,66,69
25,half,CARDINAL,70,74
27,ohh,ORG,0,3
27,today,DATE,16,21
29,huggs everyone,ORG,0,14
35,don,PERSON,0,3
83,ya,PERSON,12,14
111,george clooney,PERSON,8,22
115,george clooney,PERSON,0,14
121,hii,ORG,0,3
156,dem,NORP,32,35
157,ya hugggs,PERSON,14,23
162,hahaha,GPE,33,39
167,today,DATE,17,22
169,today,DATE,11,16
178,sigh sigh,PERSON,4,13
189,lmao don,PERSON,0,8
211,hii,ORG,0,3
229,lmao waitin,PERSON,0,11
231,don,PERSON,0,3
232,today,DATE,32,37
233,hahaha,PERSON,0,6
264,don,PERSON,0,3
274,this morning,TIME,12,24
282,noooooooooo,PERSON,0,11
290,today,DATE,23,28
291,tonight,TIME,22,29
293,about five minutes,TIME,50,68
298,bet,ORG,0,3
302,omg,PERSON,0,3
303,orta,PERSON,35,39
322,albert,PERSON,3,9
328,st louis,GPE,63,71
328,years,DATE,76,81
333,ya go,PERSON,25,30
342,st louis,GPE,9,17
342,year,DATE,22,26
342,this last year,DATE,52,66
358,gon,ORG,0,3
359,today,DATE,28,33
361,tim mcgraw,PERSON,12,22
362,albert,PERSON,7,13
373,fer st louis cardinals,PERSON,12,34
380,redneck city,ORG,0,12
395,eeewww,PERSON,0,6
397,ya find truck,PERSON,0,13
397,ya mowin,PERSON,31,39
428,kansas,GPE,33,39
433,lol god,PERSON,0,7
434,judy,PERSON,7,11
435,deop,PERSON,0,4
443,hii,ORG,0,3
446,one,CARDINAL,3,6
475,grrl,ORG,4,8
478,hii,ORG,0,3
491,cough cough,ORG,0,11
524,one,CARDINAL,3,6
535,fir minute,TIME,35,45
535,fir pm,TIME,75,81
536,ready goooooo,PERSON,6,19
551,oatmel,ORG,5,11
557,jus hopin,PERSON,4,13
559,ya thrown,PERSON,14,23
560,awww,PERSON,0,4
575,the last hour,TIME,30,43
576,whoo hooooo,ORG,0,11
578,ya dint,PERSON,0,7
583,one hour ago,TIME,0,12
585,damn puter,PERSON,0,10
593,decent hour,TIME,15,26
595,the 2nd,DATE,7,14
606,the night,TIME,92,101
655,next weekend,DATE,11,23
658,today,DATE,27,32
669,hugggs,PERSON,5,11
